States,Median Household Income,Total population,Total population-AGE-Under 5 years,Total population-AGE-5 to 9 years,Total population-AGE-10 to 14 years,Total population-AGE-15 to 19 years,Total population-AGE-20 to 24 years,Total population-AGE-25 to 29 years,Total population-AGE-30 to 34 years,Total population-AGE-35 to 39 years,Total population-AGE-40 to 44 years,Total population-AGE-45 to 49 years,Total population-AGE-50 to 54 years,Total population-AGE-55 to 59 years,Total population-AGE-60 to 64 years,Total population-AGE-65 to 69 years,Total population-AGE-70 to 74 years,Total population-AGE-75 to 79 years,Total population-AGE-80 to 84 years,Total population-AGE-85 years and over,Estimate-Male-Total population,Estimate-Female-Total population,Real GDP (2017),Total population in poverty status,Population for whom poverty status is determined!!AGE!!Under 18 years,Population for whom poverty status is determined!!AGE!!Under 18 years!!5 to 17 years,Population for whom poverty status is determined!!AGE!!18 to 64 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!18 to 34 years,Population for whom poverty status is determined!!AGE!!18 to 64 years!!35 to 64 years,Population for whom poverty status is determined!!AGE!!60 years and over,Population for whom poverty status is determined!!AGE!!65 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree",Population for whom poverty status is determined!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Population for whom poverty status is determined!!WORK EXPERIENCE!!Population 16 years and over!!Did not work,Electric (EV),Hybrid Electric (HEV),Gasoline,Diesel,Number of public airports,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
Alabama,82956,5074296,284064,311592,318523,340067,345126,315165,336987,309127,323289,296897,320783,318087,341576,304634,241555,177876,103915,85033,2461248,2613048,235807.3,800395,240009,168436,453983,206363,247620,155278,106403,455033,111384,175614,120030,48005,368071,0.0017145235516414494,0.010011240968205245,0.8034809163675118,0.02485073791517089,81,11.77913980579769,2.452544747093981,0.5370311467837114
Alaska,109524,733583,46497,49637,51178,44794,52259,54076,59824,55229,49682,39382,42431,43503,43617,41853,27043,16763,10107,5708,385667,347916,50315.1,78608,23913,14714,44479,19819,24660,15468,10216,46111,7207,18678,14950,5276,34001,0.0027263445308847124,0.012268550388981206,0.623106042533701,0.04157675409599187,286,6.2303883814101475,4.146759126097524,3.5375219981924335
Arizona,101316,7359197,393413,438358,463552,487734,522484,507249,511442,468526,457944,418409,436857,414587,456688,415150,365928,296733,174892,129251,3678381,3680816,403474.2,897852,246869,178375,509799,235198,274601,194974,141184,534391,130569,167745,153838,82239,430052,0.008941192904606304,0.020491366109644842,0.7441165116248417,0.02700022842166068,72,11.551345072023484,2.8136751876597406,2.39332701652096
Arkansas,76853,3045637,177765,196453,200389,203500,209906,187276,198601,188926,198714,176687,186716,181881,199981,173741,141418,105085,64423,54175,1504488,1541149,137355.5,496311,150695,105045,278787,118706,160081,97557,66829,287148,60144,121350,79696,25958,242273,0.0016745265440366005,0.010047159264219603,0.7320307705744316,0.029451966862761386,90,14.761139623664935,2.29476066911454,0.6726701179424862
California,131504,39029342,2118386,2285436,2550172,2568788,2639787,2755159,2989300,2763206,2632182,2401748,2476065,2356663,2333548,1980804,1587735,1158255,720433,711675,19536425,19492917,3167460.8,4670324,1278372,957618,2679892,1173317,1506575,984845,712060,2814990,821944,753884,736086,503076,2292209,0.02315181229547759,0.03879132781690247,0.7957858987220435,0.018583454468691786,218,8.865103823682192,2.35251345000897,1.3007798850413619
Colorado,119039,5839926,305063,324472,360878,369814,395695,445190,470752,441353,419002,352210,352484,327914,359438,310229,252123,168070,100553,84686,2960896,2879030,416114.4,540517,133463,100335,334967,163269,171698,105978,72087,315638,56859,89388,96771,72620,229597,0.010256979283641608,0.022568779124940968,0.771636489914427,0.03541140761030191,66,9.82340307051836,2.3846444287136515,4.131260567342806
Connecticut,128160,3626205,178453,195805,217577,245675,243507,220931,229579,238535,221778,213524,241877,256256,258996,208956,172872,124139,75774,81971,1776689,1849516,276668.8,345695,89976,66033,199278,83443,115835,78151,56441,214927,49626,79313,45937,40051,170497,0.006066948779784927,0.01778719074073308,0.727013503097591,0.012161474599477966,11,5.273108111648404,0.8359083394347534,1.0078726933529683
Delaware,105438,1018396,54058,57518,59905,62893,59981,61590,68973,61247,64060,52379,60491,65121,78000,69310,57686,41828,24484,18872,494657,523739,75172.6,93285,26487,19415,50745,18128,32617,24236,16053,57974,12394,21064,14055,10461,45066,0.005302456019073131,0.01914775784665297,0.7810321328834756,0.014238076347511184,3,9.384128570811354,0.7001264733954179,0.5132649774743813
Florida,99349,22244823,1101350,1162982,1260197,1275398,1340486,1330720,1453041,1415689,1383810,1309763,1424400,1472092,1520481,1379690,1224324,1011259,627349,551792,10953468,11291355,1218430.2,2762679,722996,512850,1477225,618209,859016,745203,562458,1748889,384797,601172,446144,316776,1385634,0.007552319027218153,0.015226014610230884,0.7123679968143599,0.015441795153865689,109,8.307558617121835,1.8337245030000913,2.4635742887232683
Georgia,99863,10912876,621126,683215,741043,762949,771563,730956,753041,731011,738039,676763,722486,681208,655201,541143,457415,317660,184649,143408,5323951,5588925,655827.3,1348344,411089,300803,759649,352472,407177,251026,177606,752879,178000,269370,192334,113175,586596,0.005507255832467995,0.013488653220287668,0.7518183107734386,0.018867620231367056,103,11.806841019727521,3.2539331519940298,1.341849206387024
Hawaii,120969,1440196,78927,82233,88272,77574,89347,90908,99183,98058,94073,83341,86803,85230,91593,89136,73905,58566,35945,37102,725309,714887,85211.4,142378,36568,27163,80813,31068,49745,34919,24997,91512,13004,33991,27554,16963,73720,0.01374812872692328,0.02263580790392419,0.6665759382750681,0.010762424003399537,15,2.242956514252227,0.6478791775563881,1.4814351657691036
Idaho,94503,1939033,111816,127781,139762,138308,141188,122506,127837,120792,135311,108891,110767,108296,116248,109205,90999,62124,36762,30440,976925,962108,91683.7,202517,60862,45262,114039,53489,60550,39897,27616,113069,19926,38646,34758,19739,79798,0.0030427537850052063,0.01882381578859153,0.7970467753772112,0.07013805334927255,126,12.093438842969666,2.5507379193649617,1.177584393870553
Illinois,106728,12582032,674211,735342,808148,820510,850982,832841,856977,852952,820316,759349,797662,798387,809415,691806,571063,399898,256445,245728,6229035,6352997,864170.9,1469643,424983,313503,830755,359855,470900,301796,213905,859813,173355,297759,242680,146019,680758,0.005317106171721706,0.01940068186124467,0.6840230576428354,0.013614653022659615,78,10.429659454053208,2.8102249302815316,1.980405470276979
Indiana,88805,6833037,399031,439398,445513,474821,489814,433271,453680,441847,424298,394701,420494,414046,444697,368831,319642,220955,130042,117956,3392667,3440370,396009.2,834550,242641,171302,484922,238732,246190,157865,106987,463653,103583,184488,124824,50758,355843,0.0025903562354484544,0.014766494020155313,0.7488324737594718,0.022464388821544504,73,10.949321509601075,2.0635863672331936,1.13893836664429
Iowa,92695,3200517,180010,200720,207426,221129,231721,197964,203702,204624,200449,177961,183143,188738,214051,183086,158035,109473,70309,67976,1607659,1592858,197846.3,339867,86464,61809,205483,110931,94552,70808,47920,188196,32611,73572,54813,27200,133522,0.0019371870232215607,0.01518504666589804,0.7877789744594389,0.03218230054706787,106,15.892920737493348,2.159531100756534,0.9388711261336841
Kansas,93221,2937150,176673,186340,203412,207208,218626,190297,187022,201087,181542,160985,162551,171124,183941,163977,132524,89191,61816,58834,1473791,1463359,174794.6,342670,93730,66966,202897,108311,94586,64596,46043,185249,35989,66854,53883,28523,135094,0.0025875423454709496,0.014810275266840305,0.7351343989922203,0.02962055053368061,121,15.29463425429413,2.949040396302538,1.4090230325315356
Kentucky,82614,4512310,260433,281095,284053,293874,301356,290830,296329,279692,289631,270219,287374,279552,306759,265046,212760,149226,86734,77347,2233158,2279152,217568.1,722865,206551,147647,415379,177688,237691,147844,100935,428250,108216,173585,105997,40452,338789,0.001684281443429197,0.012366171650440683,0.7465799113979315,0.025663130414355396,63,13.708385727044464,1.8194523425917102,0.814931819843938
Louisiana,79175,4590241,270937,287552,313246,306657,315728,278806,313260,321167,290133,255190,277963,262705,316836,260400,211605,146731,90195,71130,2248146,2342095,231262.3,829565,257479,189555,459756,202171,257585,166436,112330,470788,123572,180947,115401,50868,387757,0.001285335562991137,0.006840599436935882,0.6881991599133902,0.02514029219816563,69,13.983243581328301,2.433126060265681,0.9738031183983586
Maine,93555,1385340,61018,69458,70100,74870,79753,79454,86422,88585,81414,78672,90592,101581,110528,102318,83350,58060,36126,33039,684557,700783,72413.5,145161,27867,21117,88857,34419,54438,40233,28437,101073,15071,43905,26790,15307,82770,0.003609222284782075,0.020861304806040395,0.7421282861968903,0.019345431446431922,38,9.9004930197641,0.8528772720054283,0.6601505767537211
Maryland,125876,6164660,349193,373075,387050,389324,379802,383048,421904,424519,415693,366674,406252,408464,416883,341123,267044,195905,121988,116719,3004117,3160543,412282.6,581748,154512,114911,326731,136645,190086,136954,100505,361774,76906,125410,89429,70029,288981,0.007478109092796683,0.023715825365875815,0.7095119601081,0.014339801384017935,17,8.24578468236691,1.7290856267823367,1.051527253733377
Massachusetts,133823,6981974,342252,359840,386696,454230,491572,478573,490048,463915,443376,403850,454179,474572,478771,406713,325068,234799,146948,146572,3419487,3562487,604357.7,700156,151751,115606,410644,178514,232130,186219,137761,456610,107380,150842,102751,95637,370963,0.007075362927447166,0.022715638872330374,0.6842763951856595,0.008493300032340424,26,5.694819831755317,0.7582059171231517,1.378458298469745
Michigan,91856,10034118,536805,571751,615180,643459,687971,648661,666712,611173,608035,562636,639007,649226,715940,619018,504542,336257,216443,201302,4979089,5055029,539898.2,1315899,377915,272872,758595,344431,414164,265386,179389,765566,149480,288629,238652,88805,589465,0.0032987453406467812,0.012238245553819478,0.7047754471294836,0.01748036050602554,127,11.457743670146195,1.9446641947005208,1.1396334984300562
Minnesota,109737,5717184,328095,363889,368761,373716,364158,363041,379980,398401,383013,315964,340381,348705,394033,318612,263792,183358,112387,116898,2869638,2847546,379111.5,540079,138652,101401,314526,148527,165999,121681,86901,314222,58153,114139,93845,48085,228768,0.004250344225408873,0.018418158310105116,0.7312166269268228,0.022266206580022613,140,14.69753693426694,1.9547319099752605,1.9345240593970738
Mississippi,72624,2940057,169303,176516,205864,215884,209168,168422,183094,185470,194426,174342,178876,166777,198731,169742,139942,93192,60716,49592,1426689,1513368,114152.9,544104,175179,132982,295698,123607,172091,108538,73227,307933,76152,118773,86557,26451,251776,0.0008163107041802251,0.007584886959674591,0.7739305734548684,0.02564576128966207,74,14.190755825482295,3.0519581763210715,0.591906211342161
Missouri,88586,6177957,349648,375656,394409,410378,411856,398880,410083,407302,387247,345572,368514,375467,429809,357209,294215,209878,132561,119273,3046351,3131606,336625.8,791030,225182,160542,444177,203163,241014,173838,121671,463259,92277,188122,122700,60160,363180,0.002897397958580806,0.015393438316258919,0.7194287690898463,0.028520755324130613,105,15.533348160241323,2.2433068083834184,1.3382475792563788
Montana,90874,1122867,57024,62553,72960,69694,75198,72496,73482,75742,70661,61648,61666,64992,78615,73939,64237,42296,25145,20519,567273,555594,53983.4,133233,30937,23574,74635,36679,37956,36796,27661,81204,14088,29777,24511,12828,63923,0.0029389054981578404,0.01522887394499972,0.6816479600878822,0.06225136191552517,121,15.895363386759072,1.8634361861199946,1.788234047309254
Nebraska,94599,1967923,121107,130922,137862,142514,135424,126816,124167,137156,126752,107572,108231,106172,128331,103385,93292,60844,39754,37622,988837,979086,137078.1,215838,64271,46948,121831,63105,58726,40598,29736,116270,17326,43355,37956,17633,80215,0.0023374898306488616,0.01387249399493781,0.8013016769456935,0.03816206223515859,80,13.867941987567603,1.6704439147263384,1.262521958430284
Nevada,98422,3177772,172575,192523,200260,193726,194836,218034,238388,222782,218012,193057,204196,198602,192290,174850,149909,109694,61280,42758,1599922,1577850,187226.2,390848,109410,80116,223561,92738,130823,79415,57877,245584,50566,82845,73127,39046,184391,0.010353165677084449,0.01859793591233103,0.6789977380378454,0.026811237558893464,45,9.573900204294079,3.2539603218859,2.072077543637492
