,Real GDP (2017)
United States,21822037
Alabama,235807.3
Alaska,50315.1
Arizona,403474.2
Arkansas,137355.5
California,3167460.8
Colorado,416114.4
Connecticut,276668.8
Delaware,75172.6
District of Columbia,144029.6
Florida,1218430.2
Georgia,655827.3
Hawaii,85211.4
Idaho,91683.7
Illinois,864170.9
Indiana,396009.2
Iowa,197846.3
Kansas,174794.6
Kentucky,217568.1
Louisiana,231262.3
Maine,72413.5
Maryland,412282.6
Massachusetts,604357.7
Michigan,539898.2
Minnesota,379111.5
Mississippi,114152.9
Missouri,336625.8
Montana,53983.4
Nebraska,137078.1
Nevada,187226.2
New Hampshire,90150.5
New Jersey,646731.3
New Mexico,101315
New York,1763524.6
North Carolina,609058.2
North Dakota,54798.7
Ohio,689681.3
Oklahoma,191583
Oregon,254708.4
Pennsylvania,772335.9
Rhode Island,62190.9
South Carolina,250873.4
South Dakota,54959.3
Tennessee,412101.3
Texas,1924007.5
Utah,213898.3
Vermont,34609.4
Virginia,576964.3
Washington,641143.6
West Virginia,76525.5
Wisconsin,335688.5
Wyoming,37294.2
