States,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
Alaska,4570507,3041992,2595066
Alabama,59770842,12444938,2725055
Arkansas,44957073,6989008,2048709
Arizona,85008624,20706390,17612965
California,345999169,91817052,50768583
Colorado,57367947,13926147,24126256
Connecticut,19121371,3031175,3654753
District of Columbia,3738602,2456029,2146326
Delaware,9556759,713006,522707
Florida,184800171,40790877,54801774
Georgia,128846592,35509769,14643434
Hawaii,3230297,933073,2133557
Iowa,50865563,6911616,3004873
Idaho,23449577,4945965,2283375
Illinois,131226309,35358340,24917525
Indiana,74817119,14100562,7782408
Kansas,44922635,8661774,4138512
Kentucky,61856486,8209933,3677225
Louisiana,64186458,11168635,4469991
Massachusetts,39761084,5293774,9624360
Maryland,50832459,10659225,6482308
Maine,13715549,1181525,914533
Michigan,114968352,19512990,11435217
Minnesota,84028523,11175562,11060030
Missouri,95964357,13859053,8267636
Mississippi,41721631,8972931,1740238
Montana,17848379,2092391,2007949
North Carolina,135611872,23078529,9622524
North Dakota,13972967,2411121,825215
Nebraska,27291042,3287305,2484546
New Hampshire,10595396,769286,1202541
New Jersey,58669340,11173210,9743321
New Mexico,44215688,12641403,2813616
Nevada,30423672,10340344,6584590
New York,182585294,29581673,26341323
Ohio,107486485,19159360,12207033
Oklahoma,54973842,7655760,3198101
Oregon,46546595,7367405,6010527
Pennsylvania,140707236,17447129,9907664
Rhode Island,5133075,948465,1172763
South Carolina,60307732,11213359,4443270
South Dakota,17828027,2419809,1077229
Tennessee,76383941,19950479,8467001
Texas,340527566,79300028,43169068
Utah,40786835,11517278,6334651
Virginia,96179389,20054381,8856078
Vermont,5556375,799661,664301
Washington,70449322,9609560,17535306
Wisconsin,88456343,12245382,6376683
West Virginia,24967995,3063673,754139
Wyoming,13511687,1791666,848615
