Level,Date,State Postal Code,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Month
State,1/1/2022,NH,"25,076","1,603","2,671",1
State,1/1/2022,TX,"869,071","220,825","129,059",1
State,1/1/2022,CT,"42,943","7,258","10,096",1
State,1/1/2022,MT,"50,377","5,035","3,952",1
State,1/1/2022,IN,"189,070","33,648","20,578",1
State,1/1/2022,AL,"155,463","33,919","7,685",1
State,1/1/2022,OH,"249,269","46,380","30,142",1
State,1/1/2022,MN,"211,303","28,301","25,502",1
State,1/1/2022,UT,"97,399","28,778","15,782",1
State,1/1/2022,CO,"150,494","34,422","61,581",1
State,1/1/2022,NV,"68,125","24,792","15,712",1
State,1/1/2022,IA,"134,511","16,682","7,773",1
State,1/1/2022,NJ,"154,184","30,799","27,972",1
State,1/1/2022,ND,"34,057","5,031","1,964",1
State,1/1/2022,AZ,"211,000","47,239","45,383",1
State,1/1/2022,VT,"13,159","1,557","1,622",1
State,1/1/2022,CA,"895,074","255,329","146,919",1
State,1/1/2022,MD,"137,891","31,169","20,016",1
State,1/1/2022,KS,"102,799","23,451","10,598",1
State,1/1/2022,NC,"343,211","61,322","27,336",1
State,1/1/2022,KY,"155,216","19,355","9,169",1
State,1/1/2022,WA,"209,729","21,802","42,269",1
State,1/1/2022,VA,"258,637","54,602","26,950",1
State,1/1/2022,AR,"136,555","19,325","4,937",1
State,1/1/2022,NE,"67,560","8,329","6,027",1
State,1/1/2022,GA,"332,217","94,372","44,022",1
State,1/1/2022,NY,"452,982","71,645","75,177",1
State,1/1/2022,RI,"12,947","2,578","3,146",1
State,1/1/2022,LA,"165,437","30,252","12,426",1
State,1/1/2022,HI,"8,058","1,770","5,190",1
State,1/1/2022,MI,"265,694","48,025","30,169",1
State,1/1/2022,SC,"152,859","30,216","12,932",1
State,1/1/2022,FL,"449,686","99,154","158,132",1
State,1/1/2022,MO,"260,317","38,939","20,929",1
State,1/1/2022,PA,"345,323","42,414","24,151",1
State,1/1/2022,ID,"64,976","11,465","5,286",1
State,1/1/2022,OR,"123,455","17,118","15,430",1
State,1/1/2022,MS,"102,580","25,330","4,871",1
State,1/1/2022,SD,"43,489","5,399","2,688",1
State,1/1/2022,DC,"8,967","7,358","7,360",1
State,1/1/2022,MA,"103,303","13,531","26,844",1
State,1/1/2022,AK,"11,515","6,459","5,943",1
State,1/1/2022,NM,"119,285","25,907","6,038",1
State,1/1/2022,IL,"338,154","93,013","73,656",1
State,1/1/2022,WY,"34,237","4,341","1,927",1
State,1/1/2022,TN,"190,040","48,931","22,080",1
